Test Case,File Name,Temperature,Expected Output,Actual Output,Result
1,common_voice_en_41383256.mp3,0.0,,,PASSED
1,common_voice_en_41383256.mp3,0.25,,,PASSED
1,common_voice_en_41383256.mp3,0.4,,,PASSED
1,common_voice_en_41383256.mp3,0.5,,,PASSED
1,common_voice_en_41383256.mp3,0.6,,,PASSED
1,common_voice_en_41383256.mp3,0.75,,,PASSED
1,common_voice_en_41383256.mp3,1.0,,,PASSED
2,common_voice_en_41823983.mp3,0.0,"For purposes of this definition, the intent may be conditional.","For the purposes of this definition, the intent may be conditional.",FAILED
2,common_voice_en_41823983.mp3,0.25,"For purposes of this definition, the intent may be conditional.","For the purposes of this definition, the intent may be conditional.",FAILED
2,common_voice_en_41823983.mp3,0.4,"For purposes of this definition, the intent may be conditional.","For the purposes of this definition, the intent may be conditional.",FAILED
2,common_voice_en_41823983.mp3,0.5,"For purposes of this definition, the intent may be conditional.","For the purposes of this definition, the intent may be conditional.",FAILED
2,common_voice_en_41823983.mp3,0.6,"For purposes of this definition, the intent may be conditional.","For the purposes of this definition, the intent may be conditional.",FAILED
2,common_voice_en_41823983.mp3,0.75,"For purposes of this definition, the intent may be conditional.","For the purposes of this definition, the intent may be conditional.",FAILED
2,common_voice_en_41823983.mp3,1.0,"For purposes of this definition, the intent may be conditional.","For the purposes of this definition, the intent may be conditional.",FAILED
3,common_voice_en_41881685.mp3,0.0,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.","Bennett was educated at Lawnswood High School, Leeds and Hertford College, Oxford.",FAILED
3,common_voice_en_41881685.mp3,0.25,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.","Bennett was educated at Lawnswood High School, Leeds and Hertford College, Oxford.",FAILED
3,common_voice_en_41881685.mp3,0.4,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.","Bennett was educated at Lawnswood High School, Leeds and Hertford College, Oxford.",FAILED
3,common_voice_en_41881685.mp3,0.5,,,PASSED
3,common_voice_en_41881685.mp3,0.6,,,PASSED
3,common_voice_en_41881685.mp3,0.75,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.","Bennet was educated at Lonswood High School, Leeds, and Hertford College, Oxford.",FAILED
3,common_voice_en_41881685.mp3,1.0,"Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.","Bennet was educated at Lawnes Wood High School, Leeds and Hartford College, Oxford.",FAILED
4,common_voice_en_41799514.mp3,0.0,These rules became known as Admiral-Lord Mountevans rules.,"These lulz became the wharfs at Mirrorwood, Mt. Tibbins, Lulz",FAILED
4,common_voice_en_41799514.mp3,0.25,These rules became known as Admiral-Lord Mountevans rules.,These Lures became the horse of Mirror Lord Mountbin's Lures.,FAILED
4,common_voice_en_41799514.mp3,0.4,These rules became known as Admiral-Lord Mountevans rules.,"These lulz became the horse, Admiral Lord Mountebins lulz.",FAILED
4,common_voice_en_41799514.mp3,0.5,These rules became known as Admiral-Lord Mountevans rules.,These Lurks became the horse of Mirror Lord Mountbin's Lurks.,FAILED
4,common_voice_en_41799514.mp3,0.6,These rules became known as Admiral-Lord Mountevans rules.,These Lurks became the horse of Mirror Lord Mountibin's Lurks.,FAILED
4,common_voice_en_41799514.mp3,0.75,These rules became known as Admiral-Lord Mountevans rules.,These Lurghs became no horse. Admiral Lord Mount Tibin's Lurghs.,FAILED
4,common_voice_en_41799514.mp3,1.0,These rules became known as Admiral-Lord Mountevans rules.,These lords became the horrors at Mirrorworld Mount Tibin's laws.,FAILED
5,common_voice_en_41552032.mp3,0.0,,,PASSED
5,common_voice_en_41552032.mp3,0.25,,,PASSED
5,common_voice_en_41552032.mp3,0.4,,,PASSED
5,common_voice_en_41552032.mp3,0.5,,,PASSED
5,common_voice_en_41552032.mp3,0.6,,,PASSED
5,common_voice_en_41552032.mp3,0.75,,,PASSED
5,common_voice_en_41552032.mp3,1.0,,,PASSED
6,common_voice_en_41827319.mp3,0.0,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Coca Leaf is made up of vocal samples of singing women.,FAILED
6,common_voice_en_41827319.mp3,0.25,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Coca Leaf is made up of vocal samples of singing women.,FAILED
6,common_voice_en_41827319.mp3,0.4,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Coca Leaf is made up of vocal samples of singing women.,FAILED
6,common_voice_en_41827319.mp3,0.5,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Coca Leaf is made up of vocal samples of singing women.,FAILED
6,common_voice_en_41827319.mp3,0.6,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Coca Leaf is made up of vocal samples of singing women.,FAILED
6,common_voice_en_41827319.mp3,0.75,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Koka Leaf is made up of vocal samples of singing women.,FAILED
6,common_voice_en_41827319.mp3,1.0,"The track ""Coca Leaf"" is made up of vocal samples of singing women.",The track Cocaleaf is made up of vocal samples of singing women.,FAILED
7,common_voice_en_41526838.mp3,0.0,,,PASSED
7,common_voice_en_41526838.mp3,0.25,,,PASSED
7,common_voice_en_41526838.mp3,0.4,,,PASSED
7,common_voice_en_41526838.mp3,0.5,,,PASSED
7,common_voice_en_41526838.mp3,0.6,,,PASSED
7,common_voice_en_41526838.mp3,0.75,,,PASSED
7,common_voice_en_41526838.mp3,1.0,,,PASSED
8,common_voice_en_41435787.mp3,0.0,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan.,FAILED
8,common_voice_en_41435787.mp3,0.25,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan.,FAILED
8,common_voice_en_41435787.mp3,0.4,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan.,FAILED
8,common_voice_en_41435787.mp3,0.5,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan.,FAILED
8,common_voice_en_41435787.mp3,0.6,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan.,FAILED
8,common_voice_en_41435787.mp3,0.75,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan.,FAILED
8,common_voice_en_41435787.mp3,1.0,"Most ""Naruto"" video games have been released only in Japan.",Most Naruto video games have been released only in Japan.,FAILED
9,common_voice_en_41633128.mp3,0.0,,,PASSED
9,common_voice_en_41633128.mp3,0.25,,,PASSED
9,common_voice_en_41633128.mp3,0.4,,,PASSED
9,common_voice_en_41633128.mp3,0.5,,,PASSED
9,common_voice_en_41633128.mp3,0.6,,,PASSED
9,common_voice_en_41633128.mp3,0.75,,,PASSED
9,common_voice_en_41633128.mp3,1.0,,,PASSED
10,common_voice_en_41586424.mp3,0.0,"At South Side, Greer was an all state selection in both football and track.","At Southside, Greer was an all-state selection in both football and track.",FAILED
10,common_voice_en_41586424.mp3,0.25,"At South Side, Greer was an all state selection in both football and track.","At Southside, Greer was an all-state selection in both football and track.",FAILED
10,common_voice_en_41586424.mp3,0.4,"At South Side, Greer was an all state selection in both football and track.","At Southside, Greer was an all-state selection in both football and track.",FAILED
10,common_voice_en_41586424.mp3,0.5,"At South Side, Greer was an all state selection in both football and track.","At Southside, Greer was an all-state selection in both football and track.",FAILED
10,common_voice_en_41586424.mp3,0.6,"At South Side, Greer was an all state selection in both football and track.","At Southside, Greer was an all-state selection in both football and track.",FAILED
10,common_voice_en_41586424.mp3,0.75,"At South Side, Greer was an all state selection in both football and track.","At Southside, Greer was an all-state selection in both football and track.",FAILED
10,common_voice_en_41586424.mp3,1.0,"At South Side, Greer was an all state selection in both football and track.","At Southside, Greer was an all-state selection in both football and track.",FAILED
11,common_voice_en_41489529.mp3,0.0,,,PASSED
11,common_voice_en_41489529.mp3,0.25,,,PASSED
11,common_voice_en_41489529.mp3,0.4,,,PASSED
11,common_voice_en_41489529.mp3,0.5,,,PASSED
11,common_voice_en_41489529.mp3,0.6,,,PASSED
11,common_voice_en_41489529.mp3,0.75,,,PASSED
11,common_voice_en_41489529.mp3,1.0,,,PASSED
12,common_voice_en_41469700.mp3,0.0,,,PASSED
12,common_voice_en_41469700.mp3,0.25,,,PASSED
12,common_voice_en_41469700.mp3,0.4,,,PASSED
12,common_voice_en_41469700.mp3,0.5,,,PASSED
12,common_voice_en_41469700.mp3,0.6,The combined company was later renamed Kimball International.,The combined company was later renamed Kimbell International.,FAILED
12,common_voice_en_41469700.mp3,0.75,The combined company was later renamed Kimball International.,The combined company was later renamed Kimbell International.,FAILED
12,common_voice_en_41469700.mp3,1.0,The combined company was later renamed Kimball International.,The combined company was later renamed Kimble International.,FAILED
13,common_voice_en_41517336.mp3,0.0,,,PASSED
13,common_voice_en_41517336.mp3,0.25,,,PASSED
13,common_voice_en_41517336.mp3,0.4,,,PASSED
13,common_voice_en_41517336.mp3,0.5,,,PASSED
13,common_voice_en_41517336.mp3,0.6,,,PASSED
13,common_voice_en_41517336.mp3,0.75,,,PASSED
13,common_voice_en_41517336.mp3,1.0,,,PASSED
14,common_voice_en_41423014.mp3,0.0,,,PASSED
14,common_voice_en_41423014.mp3,0.25,,,PASSED
14,common_voice_en_41423014.mp3,0.4,,,PASSED
14,common_voice_en_41423014.mp3,0.5,,,PASSED
14,common_voice_en_41423014.mp3,0.6,,,PASSED
14,common_voice_en_41423014.mp3,0.75,,,PASSED
14,common_voice_en_41423014.mp3,1.0,,,PASSED
15,common_voice_en_41518962.mp3,0.0,,,PASSED
15,common_voice_en_41518962.mp3,0.25,,,PASSED
15,common_voice_en_41518962.mp3,0.4,,,PASSED
15,common_voice_en_41518962.mp3,0.5,,,PASSED
15,common_voice_en_41518962.mp3,0.6,,,PASSED
15,common_voice_en_41518962.mp3,0.75,,,PASSED
15,common_voice_en_41518962.mp3,1.0,,,PASSED
16,common_voice_en_41592181.mp3,0.0,,,PASSED
16,common_voice_en_41592181.mp3,0.25,,,PASSED
16,common_voice_en_41592181.mp3,0.4,,,PASSED
16,common_voice_en_41592181.mp3,0.5,,,PASSED
16,common_voice_en_41592181.mp3,0.6,,,PASSED
16,common_voice_en_41592181.mp3,0.75,,,PASSED
16,common_voice_en_41592181.mp3,1.0,,,PASSED
17,common_voice_en_41532689.mp3,0.0,,,PASSED
17,common_voice_en_41532689.mp3,0.25,,,PASSED
17,common_voice_en_41532689.mp3,0.4,,,PASSED
17,common_voice_en_41532689.mp3,0.5,,,PASSED
17,common_voice_en_41532689.mp3,0.6,,,PASSED
17,common_voice_en_41532689.mp3,0.75,,,PASSED
17,common_voice_en_41532689.mp3,1.0,,,PASSED
18,common_voice_en_41503591.mp3,0.0,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.25,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.4,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.5,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.6,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.75,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,1.0,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
19,common_voice_en_41816931.mp3,0.0,,,PASSED
19,common_voice_en_41816931.mp3,0.25,,,PASSED
19,common_voice_en_41816931.mp3,0.4,,,PASSED
19,common_voice_en_41816931.mp3,0.5,,,PASSED
19,common_voice_en_41816931.mp3,0.6,,,PASSED
19,common_voice_en_41816931.mp3,0.75,,,PASSED
19,common_voice_en_41816931.mp3,1.0,,,PASSED
20,common_voice_en_41267069.mp3,0.0,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa",FAILED
20,common_voice_en_41267069.mp3,0.25,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, Kwanatia kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa k",FAILED
20,common_voice_en_41267069.mp3,0.4,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, kwa kwa kwae na kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa",FAILED
20,common_voice_en_41267069.mp3,0.5,"In Korea, carnations express admiration, love and gratitude.","Kata Korea, kwa mtotoa, kwa kwa mtotoa, kata Korea, kwa kwa kwa kwa mtotoa, kata Korea, kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa",FAILED
20,common_voice_en_41267069.mp3,0.6,"In Korea, carnations express admiration, love and gratitude.","Kwa korea, kushanati yata kutulunga, amirasi, nchani, na kushanati.",FAILED
20,common_voice_en_41267069.mp3,0.75,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, kwa watum Sino ongeo nyingi, naiuni na mbaaya",FAILED
20,common_voice_en_41267069.mp3,1.0,"In Korea, carnations express admiration, love and gratitude.",Nili inaeoma magicina Korea.,FAILED
21,common_voice_en_41659267.mp3,0.0,Naval Academy in Annapolis.,Navaal Academy in Annapolis.,FAILED
21,common_voice_en_41659267.mp3,0.25,,,PASSED
21,common_voice_en_41659267.mp3,0.4,,,PASSED
21,common_voice_en_41659267.mp3,0.5,,,PASSED
21,common_voice_en_41659267.mp3,0.6,,,PASSED
21,common_voice_en_41659267.mp3,0.75,,,PASSED
21,common_voice_en_41659267.mp3,1.0,Naval Academy in Annapolis.,Navala Academy in Annapolis.,FAILED
22,common_voice_en_41629760.mp3,0.0,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.25,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.4,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.5,,,PASSED
22,common_voice_en_41629760.mp3,0.6,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.75,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,1.0,,,PASSED
23,common_voice_en_41674821.mp3,0.0,"After graduation he served with the royal Prussian geological institute, making photographic surveys.","After graduation, he served with the Royal Prussian Geological Institute, making photographic surveys.",FAILED
23,common_voice_en_41674821.mp3,0.25,"After graduation he served with the royal Prussian geological institute, making photographic surveys.","After graduation, he served with the Royal Prussian Geological Institute, making photographic surveys.",FAILED
23,common_voice_en_41674821.mp3,0.4,"After graduation he served with the royal Prussian geological institute, making photographic surveys.","After graduation, he served with the Royal Prussian Geological Institute, making photographic surveys.",FAILED
23,common_voice_en_41674821.mp3,0.5,,,PASSED
23,common_voice_en_41674821.mp3,0.6,"After graduation he served with the royal Prussian geological institute, making photographic surveys.",After graduation he served with the Royal Prussian Geological Institute making photographic surveys.,FAILED
23,common_voice_en_41674821.mp3,0.75,,,PASSED
23,common_voice_en_41674821.mp3,1.0,,,PASSED
24,common_voice_en_41577054.mp3,0.0,,,PASSED
24,common_voice_en_41577054.mp3,0.25,,,PASSED
24,common_voice_en_41577054.mp3,0.4,,,PASSED
24,common_voice_en_41577054.mp3,0.5,,,PASSED
24,common_voice_en_41577054.mp3,0.6,,,PASSED
24,common_voice_en_41577054.mp3,0.75,,,PASSED
